,zip,city,cases,n_killed,n_injured,population,rate,High school or higher,Bachelor or higher,poverty,unemployment
1518,19148,Niagara Falls,9.0,4.0,4.0,53440.0,0.16841317365269462,75.1,23.9,21.2,10.1
1519,19149,Niagara Falls,11.0,2.0,2.0,59853.0,0.18378360316107797,76.6,13.3,23.5,11.8
1520,19150,Niagara Falls,7.0,6.0,6.0,24048.0,0.29108449767132405,91.3,24.0,12.1,13.6
1521,19151,Providence,14.0,3.0,3.0,35102.0,0.39883767306706175,89.1,24.6,20.2,11.0
1522,19152,Niagara Falls,4.0,0.0,0.0,35626.0,0.11227755010385675,84.2,26.7,14.3,6.6
1523,19153,Niagara Falls,4.0,2.0,2.0,13613.0,0.2938367736722251,86.5,24.8,25.1,9.5
1524,19154,Niagara Falls,3.0,3.0,3.0,33512.0,0.08952017187873,89.1,21.8,8.0,6.8
1525,19320,Niagara Falls,4.0,2.0,2.0,54180.0,0.073827980804725,88.7,28.6,12.5,7.1
1526,19335,Niagara Falls,1.0,0.0,0.0,48652.0,0.020554139603716187,96.3,55.0,3.8,3.9
1527,19380,Niagara Falls,2.0,2.0,2.0,51146.0,0.03910374222813123,95.2,58.3,5.5,5.2
1528,19382,Niagara Falls,1.0,0.0,0.0,54293.0,0.018418580664174018,96.6,59.8,10.7,4.0
1529,19401,Niagara Falls,5.0,3.0,3.0,42104.0,0.11875356260687821,82.0,26.8,18.9,7.8
1530,19403,Niagara Falls,1.0,0.0,0.0,46199.0,0.021645490162124723,94.4,45.1,5.2,5.1
1531,19406,Niagara Falls,1.0,0.0,0.0,23979.0,0.04170315692897952,94.1,56.1,5.0,4.7
1532,19440,Niagara Falls,1.0,1.0,1.0,18935.0,0.05281225244256668,91.7,37.9,4.8,4.2
1533,19460,Niagara Falls,3.0,2.0,2.0,41815.0,0.07174458926222647,95.3,53.0,5.8,4.6
1534,19462,Niagara Falls,1.0,0.0,0.0,15391.0,0.06497303618998115,94.1,50.5,3.6,5.1
1535,19464,Niagara Falls,4.0,0.0,0.0,46903.0,0.08528239131825256,89.2,24.3,14.1,7.4
1536,19465,Niagara Falls,1.0,1.0,1.0,17429.0,0.057375638303976136,94.8,42.5,4.5,5.1
1537,19468,Niagara Falls,1.0,1.0,1.0,26018.0,0.038434929664078715,94.7,41.4,5.8,6.9
